出表日期,報告年度,公司代號,公司名稱,有害廢棄物量-數據(公噸),有害廢棄物量-資料範圍,非有害廢棄物量-數據(公噸),非有害廢棄物量-資料範圍,總重量(有害+非有害)-數據(公噸),總重量(有害+非有害)-資料範圍,廢棄物密集度-密集度(公噸/單位),廢棄物密集度-單位,取得驗證,廢棄物管理政策或減量目標
1111005,110,1218,泰山,0.0000,泰山公司所屬田中食品廠、田中油脂廠、水產飼料廠、北斗牧場,1452.9900,泰山公司所屬田中食品廠、田中油脂廠、水產飼料廠、北斗牧場,1452.9900,泰山公司所屬田中食品廠、田中油脂廠、水產飼料廠、北斗牧場,0.3819,營業額,N,"1.全廠區加強分類與回收，降低處理機制，全廠廢棄物可回收比例大於90%，並逐年提升回收率，逐年降低非資源性廢棄物總量。（110年可回收之資源性棄物>95%）。
2.全廠區廢棄物清運暨處理方式合法合規，並逐年討論減塑方案。"
1111005,110,1219,福壽,0.1050,母公司、子公司,459.9400,母公司、子公司,460.0450,母公司、子公司,0.0000,營業額,N,"生產所產生的事業廢棄物，先初步分類處理後，再委託合格專業環保公司處理清運及申報，同時不定期追蹤掌握廢棄物最終流向，相關作業皆依「事業廢棄物清理計畫書」執行。
化學實驗操作所產出的有害事業廢棄物委託合格專業公司清運，並由最終機構國立成功大學環境資源研究管理中心資源回收廠處理完成。"
1111005,110,1220,台榮,0.0000,本公司雲林廠及高雄飼料廠,2015.8650,本公司雲林廠及高雄飼料廠,2015.8650,本公司雲林廠及高雄飼料廠,76.4312,營業額(億元),N,落實廢棄物、資源有效分類。廢矽藻土回收再利用，廢水活性污泥(即食品加工污泥)的再返送部分至厭氧消化以減廢，預計廢棄物可大幅減少(50%)以上
1111005,110,1225,福懋油,0.2600,涵蓋範圍:僅母公司,627.2500,涵蓋範圍:僅母公司,627.5100,涵蓋範圍:僅母公司,,,N,以綠色消費、源頭減量、再生利用，將資源有效循環利用
1111005,110,1227,佳格,3.3100,佳格母公司,5344.0000,佳格母公司,5347.3100,佳格母公司,0.0043,萬元營業額,ISO 14001,合法處理、積極規劃廢棄物分類及減量，納入環境管理系統ISO14001進行管控。
1111005,110,1229,聯華,0.0000,"母公司-聯華實業投資控股(股)公司以及
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",282.9900,"母公司-聯華實業投資控股(股)公司以及
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",282.9900,"母公司-聯華實業投資控股(股)公司以及
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",0.0450,營業額;單位為新台幣佰萬元,N,"聯華秉持資源永續利用的精神，力行資源節約使用，我們透過下列措施，盡可能將有用的物資，轉化為可再利用之資源，並將行政及廠區所產生之不可回收廢棄物，進行有效的管理及處理，減少廢棄物的產生及處置對環境的影響。相關措施包括：
(1)將各項欲棄置之原、物、材料及事務用品先集中整理，將可重新利用之材料進行二次利用。
(2)剩餘部分依據行政院環保署廢棄物清理法進行分類、貯存、排出及回收。
(3)一般廢棄物於大樓外部設置專用垃圾子車專區，防止廢棄物飛散，並委託經主管機關許可之民營廢棄物處理機構，運至焚化廠處理。
(4)銷毀機密文件配合年度定期作業，統一交由經政府核發回收業者進行銷毀處理，再造再生紙，提倡環保，達到全循環。
(5)針對大樓餐飲所產生之食材殘料與廚餘，餐飲廠商已建立廚餘回收再利用體系，全程控管並進行回收再利用，全數送畜牧場作為養豬飼料，力行循環經濟。
(6)辦公大樓及廠區之資源性廢棄物來源，主要為廢紙、寶特瓶、鐵鋁罐等可回收之資源，經由分類收集後，交由當地合格回收業者進行回收再利用。為落實員工垃圾分類管理，工廠也在新進員工教育訓練中，納入資源回收分類觀念，維護辦公室及廠區衛生觀念。
富岡廠減少設置販賣機，並增設飲水機，鼓勵員工準備環保杯，飲用白開水，減少購買一次性瓶裝水，以減少廢棄物之產生。"
1111005,110,1231,聯華食,,,,,,,,,N,無資料
1111005,110,1232,大統益,0.0000,僅母公司,1.9510,僅母公司,1.9510,僅母公司,0.0020,黃豆總加工量,ISO 14001,落實廢棄物分類、減量及回收再利用，以降低廢棄物處理費用及減少碳排放。
1111005,110,1233,天仁,,本公司天仁茶業股份有限公司直營單位,,本公司天仁茶業股份有限公司直營單位,1350.0000,本公司天仁茶業股份有限公司直營單位,1.5205,分母以營業額為百萬元之計算,N,尚未制定
1111005,110,1234,黑松,0.8000,中壢廠,2614.0000,中壢廠,2614.8000,中壢廠,0.0100,產品,N,"管理政策：
因應全球廢棄物減量、塑膠減量及循環經濟發展趨勢，本公司積極關注相關議題並配合政府推動各項事業廢棄物相關政策，並依廢棄物清理法訂有「廢棄物處理作業標準書」確保廢棄物管理皆有所依循。對於所產生的廢棄物積極實施資源回收分類，提升資源可再利用性，以降低對環境造成的影響。對於無法回收再利用之廢棄物，亦透過具合格證照之專業處理商進行處置，並追蹤處置方式及流向。
目標：至114年，每噸產品產生的廢棄物重量相較109年減少14%
策略：
自111年起透過綠化垃圾以堆肥方式再利用；紅酒櫃隔熱氣泡布再利用；茶渣、咖啡渣壓榨機；小寶特碳酸產品111年棧板機更新減少廢棄物產生。階段性目標為111年~112年，每噸產品產生的廢棄物重量減少10%。"
1111005,110,1235,興泰,,,,,,,,,N,目前暫無規劃
1111005,110,1236,宏亞,0.0000,母公司,424.7200,母公司,424.7200,母公司,0.0000,營業額,N,減廢與資源回收是廢棄物管理主軸，透過減少一次性材質的使用，並加強可再利用資源的分類回收。未來開始使用環保包材之產品，使用量大之襯盒也著重在減少使用或改可回收材質取代。
1111005,110,1256,鮮活果汁-KY,1.0241,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,1962.6080,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,1963.6321,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,0.0005,營業額,N,由管理部、環安部依公司管理方針對廢棄物進行管理，並依《蘇州市生活垃圾分類管理條例》及《中華人民共和國固體廢棄物污染環境防治法》制定廢棄物投放、廢水傾倒及垃圾分類處罰細則，對廢棄物的產生、處理等進行有效的管理。
1111005,110,1301,台塑,2928.0000,母公司,235519.0000,母公司,238447.0000,母公司,113.1800,廢棄物總量/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.81,N,"促進廢棄物再利用，減少廢棄物掩埋量，廢棄物直接處置量減量目標：
1.2025年較基準年(2020年)減少10%
2.2030年較基準年(2020年)減少20%"
1111005,110,1303,南亞,6023.3000,母公司,122868.0000,母公司,128891.3000,母公司,0.0006,單位:公噸/110年個體營業額(千元)。,ISO 14001,為達資源永續與循環利用，依循環經濟推動四要素，透過減量化、再利用、再循環與革新，減少廢棄物發生量與提升資源化比例(以≧80%為目標)，降低焚化與掩埋量，並針對廢棄物分類、貯存與清除處理，制定各項管理措施，確保法規符合性。
1111005,110,1304,台聚,22.2300,台聚高雄廠,868.5900,台聚高雄廠,890.8200,台聚高雄廠,0.0036,產品,ISO 14001,"2021年目標
1.強化廢棄物清除處理流向管制
2.廢棄物減量專案導入製程測試"
1111005,110,1305,華夏,38.3100,華夏頭份廠、華聚林園廠、台氯林園廠。,3401.9000,華夏頭份廠、華聚林園廠、台氯林園廠。,3440.2100,華夏頭份廠、華聚林園廠、台氯林園廠。,0.0030,產品,ISO 14001,廢棄物管理或減量目標:符合環保法規，合法清運處理，提升資源再利用率，追求資源永續利用。
1111005,110,1307,三芳,,母公司,,母公司,2153.0000,母公司,2.8500,百萬營業額,N,見年報資料p64
1111005,110,1308,亞聚,0.0000,亞聚林園廠,395.5600,亞聚林園廠,395.5600,亞聚林園廠,0.0029,產品,ISO 14001,廢棄物相關清除和處理作業皆委託具有環保署認可之國內合格清理公司簽訂清理合約， 並依「廢棄物清理法」規定辦理 。
1111005,110,1309,台達化,0.0000,前鎮廠、林園廠、頭份廠、中山廠,3587.0000,前鎮廠、林園廠、頭份廠、中山廠,3587.0000,前鎮廠、林園廠、頭份廠、中山廠,0.0068,產品,ISO 14001,依循廢棄物相關法規，降低製程生產過程所排放之廢棄物。強化廢棄物稽查管理制度、推動廢棄物減量。
1111005,110,1310,台苯,5.1300,台苯高雄廠,14367.3800,台苯高雄廠,14372.5100,台苯高雄廠,0.0400,產品,N,"1.訂有「環境保護管理作業程序」(KE-80-04)，進行廢棄物管理。
2.每年訂定廢棄物重點管理目標，追蹤管理。"
1111005,110,1312,國喬,,國喬石油化學股份有限公司高雄廠,,國喬石油化學股份有限公司高雄廠,30077.0900,國喬石油化學股份有限公司高雄廠,1.6600,營業額,N,國喬石化為降低生產過程中廢棄物對環境產生的衝擊環境危害，努力推動污染預防與工業減廢工作，除制定「工業減廢推行作業程序」加強管理外，並為回收熱能及進行廢棄物減量(306-2 廢棄物顯著衝擊管理)，興建一座每小時處理390Kg 之污泥焚化爐。其他無法處理之廢棄物均委託場外合格清除處理廠商進行清理，並依規定開立三聯單管制
1111005,110,1313,聯成,311.0000,聯成林園廠,1702.0000,聯成林園廠,2013.0000,聯成林園廠,,,N,"1.提高自行處理量，減少廢棄物產出。
2.轉化中間產物為產品，提升產品良率。
3.包裝容器清洗再包裝，減少產出。"
1111005,110,1314,中石化,37654.0000,僅母公司,49540.0000,僅母公司,87194.0000,僅母公司,0.0000,"廢棄物總量:87194公噸，營業收入:35,163,380仟元",ISO 14001,"【廢棄物管理】：本公司遵循政府廢棄物處理相關法令，依法申請排放
或處理許可，並依主管機關核准之廢棄物清理計畫執行廢棄物管理。廢
棄物主要係以委外清除處理方式處置，而大社廠及小港廠廢液則採焚化
方式自行處理，自行處理許可期限分別至2024年及2025年。針對委外清
除處理的廢棄物，除依法委託符合相關法令要求之合格廢棄物處理廠商
承攬，藉由車輛GPS定位系統追蹤清運路線及廢棄物最終處理地點，各
廠同仁亦不定期隨車或跟車稽查，以確保委外廠商妥善處理各類廢棄物，
防堵廢棄物違法棄置，2021年度未有清運廠商任意棄置廢棄物異常，避
免造成額外之環境負擔與污染風險。"
1111005,110,1315,達新,0.0000,母公司,133.0000,母公司,133.0000,母公司,,,N,本公司透過行政管理，加強宣導，以每年至少降低1%的碳排量為減量目標。
1111005,110,1319,東陽,392.0000,母公司,3047.0000,母公司,3439.0000,母公司,0.2500,百萬營業額,N,2022年單位營業額廢棄物產出強度較2017年減少7％；2030年單位營業額廢棄物產出強度較2017年減少20％
1111005,110,1321,大洋,11.9500,母公司,655.3600,母公司,667.3100,母公司,0.0046,產品,N,將可回收處理的垃圾分離出來；委託合格廠商清除處理。
1111005,110,1323,永裕,0.0000,"台灣永裕:
一般垃圾 80.185噸
非有害事業廢棄物10.095公噸
上海永裕:
311.363噸
威瑪:1.5噸",91.7800,"台灣永裕:
一般垃圾 80.185噸
非有害事業廢棄物10.095公噸
上海永裕:
311.363噸
威瑪:1.5噸",91.7800,"台灣永裕:
一般垃圾 80.185噸
非有害事業廢棄物10.095公噸
上海永裕:
311.363噸
威瑪:1.5噸",0.0001,台灣永裕+上海永裕 (90.28+311.363)/(1907428千元+1281058千元)=0.000125,N,較去年下降5%一般事業廢棄物
1111005,110,1324,地球,97.9800,母公司(幼一二廠),89.2500,母公司(幼一二廠),187.2300,母公司(幼一二廠),0.0000,營業額,ISO 14001,本公司致力於環境保護，除進行績效檢討，並執行內外部稽核，於民國109年度通過ISO14001環境管理系統驗證。為達永續資源策略，研擬規劃以廢棄物總量削減與廢棄物資源化，藉由製程技術改善、原物料減量等管理措施，減少廢棄物產出，達到廢棄物減量及資源回收再利用之效益。
1111005,110,1325,恆大,,,,,,,,,N,無資料
1111005,110,1326,台化,61.0000,110年母公司及台醋公司之台灣廠區,286944.0000,110年母公司及台醋公司之台灣廠區,287005.0000,110年母公司及台醋公司之台灣廠區,118.0000,營業額億元,ISO 14001,"1.源頭管理:減少燃煤用量，預估2022 年將減少1,713 噸煤灰。
2.製程減廢:增設厭氧系統，廢水汙泥乾燥改善，2022 年預估可減少144 噸。
3.末端處置:減少廢棄物掩埋量。"
1111005,110,1337,再生-KY,,,,,,,,,N,研議中
1111005,110,1338,廣華-KY,144.4000,僅重要子公司東莞廣澤汽車飾件有限公司,325.3600,僅重要子公司東莞廣澤汽車飾件有限公司,469.7600,僅重要子公司東莞廣澤汽車飾件有限公司,0.0030,平方米(建築面積),N,固廢及危險廢棄物由具資質的環保公司處理
1111005,110,1339,昭輝,128.2800,母公司,9.4000,母公司,137.6800,母公司,,,N,資源回收再利用
1111005,110,1340,勝悅-KY,,,,,,,,,N,研議中
1111005,110,1341,富林-KY,356.2550,僅子公司同奈廠,2833.2000,僅子公司同奈廠,3189.4550,僅子公司同奈廠,0.2085,產品,ISO 14001,"與2020年基線相比在2025年廢物降5%(含PVC耳料，塗布紙，壓花紙). 2020年PVC耳料為0,0410 kg/kg 產品。
與2020年基線相比在2025稻殼渣降5%.2020年基線為0,1184 kg/kg 產品。
與2020年基線相比在2025年空桶將5%。2020年基線為0,0117 kg/kg 產品。"
1111005,110,1342,八貫,,,,,,,,,N,無
1111005,110,1402,遠東新,17480.0000,統計範疇共21個生產據點,191108.0000,統計範疇共21個生產據點,208588.0000,統計範疇共21個生產據點,0.0271,產品,ISO 14001,生產事業107年制訂廢棄物減量（非再利用及回收處理）短中長期目標，以106年數據為基準年，110年達成目標減少50%。
1111005,110,1409,新纖,0.0000,新光合纖中壢廠,1743.2000,新光合纖中壢廠,1743.2000,新光合纖中壢廠,,,N,"1.生產現場輔導確實分類:再利用、資源回收、生活垃圾、製程廢料確實區分。
2.垃圾場專人管理:進場檢查分類是否確實(不合格退回、電子磅重系統回傳、
處理費用分攤到產出單位。
3.工環每年訂定重點查核項目。
4.藉由落實及配合再利用廠商分類，廢棄物能以再利用處理，
減量目標:廢棄物再利用率達廢棄物總量的50%。"
1111005,110,1410,南染,,,,,,,,,N,無
1111005,110,1413,宏洲,,僅母公司,,僅母公司,71.5100,僅母公司,0.0004,產品,N,垃圾減量5%
1111005,110,1414,東和,0.0000,本公司,129.0000,本公司,129.0000,本公司,,,N,無
1111005,110,1416,廣豐,,,,,,,,,N,無
1111005,110,1417,嘉裕,,,,,,,,,N,"透過減量使用、回收再利用等方式，減少廢棄物之產生，達到廢棄物減量
之目標。"
1111005,110,1418,東華,0.0000,本公司新竹廠,9.0000,本公司新竹廠,9.0000,本公司新竹廠,,,N,依本公司(廠)年度事業廢棄物及生活產生之垃圾進行量化、分類管理計畫執行
1111005,110,1419,新紡,0.0000,母公司生產區域,36.1100,母公司生產區域,36.1100,母公司生產區域,0.0000,產品,N,以再利用代替焚化，並使廢棄物產生量於2025年減少10%
1111005,110,1423,利華,0.0000,母公司,5.5800,母公司,5.5800,母公司,0.0000,元營業額,N,尚無具體規劃
1111005,110,1432,大魯閣,,,,,,,,,N,無資料
1111005,110,1434,福懋,20324.0000,台灣廠區,2532.0000,台灣廠區,22856.0000,台灣廠區,0.9300,營業額 百萬元(新台幣),N,請參閱本公司2021年永續報告書_環境面p.71-73
1111005,110,1435,中福,0.0000,僅母公司,0.3230,僅母公司,0.3230,僅母公司,0.0260,無生產活動，以平均每月生活廢棄物量計算,N,落實資源回收管理
1111005,110,1436,華友聯,,僅母公司,,僅母公司,3782.0000,僅母公司,,,N,由施工源頭做起，減少生產造成之營建廢棄物，同時請工地主任向各下包商宣導，營建廢棄物不得隨意丟棄，應集中管理。本公司之營建廢棄物及生活廢棄物，皆委託合法廠商處理，以降低廢棄物對環境之影響。
1111005,110,1437,勤益控,,,,,,,,,N,"1.執行廢棄物分類回收
2.委託專業合格之廢棄物處理機構
3.推行各項環保政策，鼓勵員工一同響應"
1111005,110,1438,三地開發,,,,,,,,,N,無資料，本公司遵循廢棄物管理相關法令
1111005,110,1439,雋揚,,,,,,,,,N,無。
1111005,110,1440,南紡,36.3100,仁德廠+太子廠,564.0000,仁德廠+太子廠,600.3100,仁德廠+太子廠,0.0019,產量公噸,ISO 14001,"導入ISO14001(環境管理系統)並取得驗證,以系統化之方式進行管理."
1111005,110,1441,大東,,,,,,,,,N,無資料
1111005,110,1442,名軒,,,,,,,,,N,"1.辦公室致力推行作業無紙化、回收紙再利用、減少用紙數量，垃圾確實分類，落實資源回收，減少民生廢棄物產生。
2.發包予合法廠商並依法規規定申報、清運處理，要求建案施工雜物隨時清理分類，以利再生利用。"
1111005,110,1443,立益物流,,,,,,,,,N,未訂定尚
1111005,110,1444,力麗,0.0000,母公司各廠區,3934.0000,母公司各廠區,3934.0000,母公司各廠區,,,N,無
1111005,110,1445,大宇,,,,,,,,,N,無資料
1111005,110,1446,宏和,0.0000,母公司,8.5800,母公司,8.5800,母公司,8.4000,噸,N,依事業廢棄物清理計劃處理
1111005,110,1447,力鵬,429.0000,母公司各廠區,8156.0000,母公司各廠區,8585.0000,母公司各廠區,,,N,無
1111005,110,1449,佳和,0.0000,母公司,310.0000,母公司,310.0000,母公司,0.0160,產品,N,1 廢棄物分類 2 回收再利用
1111005,110,1451,年興,0.0000,2021年,1841.0000,2021年,1841.0000,2021年,0.0002,仟元營業額,N,每年減少三成的廢棄物量，已連續三年達標。
1111005,110,1452,宏益,0.0000,包含合併財務報表之母子公司,6.8000,包含合併財務報表之母子公司,6.8000,包含合併財務報表之母子公司,0.0002,產品,N,透過減量使用、回收再利用等方式，減少廢棄物之產生，達到廢棄物減量之目標。
1111005,110,1453,大將,,,,,,,,,N,無資料
1111005,110,1454,台富,,,,,,,,,N,暫未訂
1111005,110,1455,集盛,0.0000,母公司之5個紡織製品製造廠區,1762.7300,母公司之5個紡織製品製造廠區,1762.7300,母公司之5個紡織製品製造廠區,0.0100,產品,N,"1.遵行廢棄物處理相關規定。
2.減少廢棄物發生，今年污泥處
理量較去年減少64.39噸(44%)。"
1111005,110,1456,怡華,0.0000,台南官田廠,132.0000,台南官田廠,132.0000,台南官田廠,0.0130,一般廢棄物,N,廢棄物分類，廢棄物回收再利用
1111005,110,1457,宜進,,,,,,,,,N,無
1111005,110,1459,聯發,0.0000,工廠,56.1400,工廠,56.1400,工廠,0.0023,產品,N,"本公司秉持可回收再利用為原則，經分類後可再利用次級原料、加工絲、廢紙箱及紙管交專業回收廠商收購，
無利用價值之廢料、生活垃圾則專業處理業者載運清理。"
1111005,110,1460,宏遠,0.0000,母公司,10770.2400,母公司,10770.2400,母公司,,,N,達到資源100%回收
1111005,110,1463,強盛,,,,,,,,,N,減少5%
1111005,110,1464,得力,0.0000,僅母公司,3627.3000,僅母公司,3627.3000,僅母公司,3627.3000,產品,ISO 14001,無資料
1111005,110,1465,偉全,,,,,,,,,N,N/A
1111005,110,1466,聚隆,0.0000,母公司,313.3000,母公司,313.3000,母公司,0.0063,產品,N,降低廢棄物量，實施垃圾分類減量。　
1111005,110,1467,南緯,0.0420,母公司,26.1600,母公司,26.2020,母公司,,,N,"落實生產製程中的回收與利用,由相關單位負責回位並分類,減少資源的耗損與廢棄物的產生"
1111005,110,1468,昶和,,,,,,,,,N,無
1111005,110,1470,大統新創,0.0000,合併財務報表之母子公司之桃園廠區,2415.0000,合併財務報表之母子公司之桃園廠區,2415.0000,合併財務報表之母子公司之桃園廠區,0.3300,產量,N,廢棄物包括布塊、汙泥、煤渣、一般及回收垃圾等，相關處理依環保法規辦理；其中煤渣方面，因已啟用天然氣鍋爐，預計111年度將減少40%。
1111005,110,1471,首利,,,,,,,,,N,針對廢棄物可再利用資源加以回收，讓物質循環再利用。
1111005,110,1472,三洋實業,,,,,,,,,N,無資料
1111005,110,1473,台南,1019.3700,包含合併財務報表之母子公司,651.2700,包含合併財務報表之母子公司,1670.6400,包含合併財務報表之母子公司,0.0800,產品,N,各廠定期宣導員工廢棄物分類，張貼廢棄物分類回收標語，提高員工垃圾分類意識，進而提升可回收廢棄物比例，落實廢棄物管理。
1111005,110,1474,弘裕,0.0000,母公司,786.0000,母公司,786.0000,母公司,,,N,110年減量目標:污泥清運量減少2%
1111005,110,1475,業旺,,,,,,,,,N,公司無自製生產製。
1111005,110,1476,儒鴻,,包含合併財務報表之母子公司,,包含合併財務報表之母子公司,9682.6590,包含合併財務報表之母子公司,0.0003,營業額,N,"管理政策
1.遵守當地廢棄物相關法令之規範
2.源頭減廢，落實廢棄物分類與資源再使用
3.廢水處理最佳化，減少污泥產出
4.減少掩埋或焚化處理，提升事業廢棄物再利用處理比例
5.汰除高風險清理機構，採行廢棄物協力廠商評鑑與查核制度
減量目標
2023年較2020年減少3%之廢棄物"
1111005,110,1477,聚陽,,台北總公司,,台北總公司,22.9100,台北總公司,0.0008,營業額(百萬元),N,廢棄物管理：(1)使用回收紙進行複/列印或雙面印刷。(2)永續資訊及節廢措施於電子報及電視牆每季、每月及不定時發送及撥出。
1111005,110,1503,士電,1.9000,"環境面資訊以母公司之電裝廠、新豐廠、重電廠為主，
不包含台北總公司。",738.8400,"環境面資訊以母公司之電裝廠、新豐廠、重電廠為主，
不包含台北總公司。",740.7400,"環境面資訊以母公司之電裝廠、新豐廠、重電廠為主，
不包含台北總公司。",,,N,"本公司以廢棄物總量削減與廢棄物資源化作為廢棄物管理策略，
並以零廢棄為最終目標，藉由製程技術改善、原物料減量、
回收料再利用等管理措施，減少廢棄物產出，達到廢棄物減量、資源循環再利用。"
1111005,110,1504,東元,10.3500,台灣所有廠區,3015.2200,台灣所有廠區,3025.5700,台灣所有廠區,13.2000,營業額,N,依前一年度整體廢棄物總量依產值密集度比降低5%
