出表日期,報告年度,公司代號,公司名稱,使用率(再生能源/總能源),資料範圍,取得驗證,提升能源使用效率政策,使用再生物料政策
1111005,110,1213,大飲,,,NA,NA,NA
1111005,110,1215,卜蜂,,,N,公司目前正在建置太陽能設備，進而提升再生能源之使用。,生產產品將製造之廢棄物透過回收處理方式降低廢料產生，以提升資源再利用；藉由製程設備技術提升，添購新式汙水處理設備及汙泥乾燥機導入，使食品加工汙泥含水率下降，達到廢棄物減量管理。
1111005,110,1216,統一,0.0037,僅母公司,N,"1.	推動生產廠年度節電1% 專案
2.	生產廠導入節能減碳及節水專案
3.規劃太陽光電設置案場，目前確定總量為2.137MW。
(預估年發電量2,671千度為每月發電量由台電計量)
4.綠建築申請(楊梅綜合大樓、湖口園區食品廠 通過 )
(綠建築審查單位：經財團法人 台灣建築中心)","r-PET應用於食品接觸包裝為國際趨勢，將會密切注意國內法規的相關動態。但目前還未使用r-PET材料。
&#8195;"
1111005,110,1217,愛之味,,,N,改用效率高的機電設備，致力於達到每年節電率1%，及節能減碳的教育訓練,提升再生物料回收比例，及增加使用環保包材物料
1111005,110,1218,泰山,,,N,每年盤點廠內生產設備效能，依年限與效能進行汰舊換新工作，逐年汰換並採用節能設備進行生產。,廠內設備、能源及物料採購，皆以食品安全為最高指導原則，評估綠色原物料包材，配合國際rPET策略，研究相關包材生產。
1111005,110,1219,福壽,,,ISO 50001,持續更新購置節能減碳設備如高效率馬達(IE3)更換老舊耗能馬達、更換LED節能燈具、購買電動堆高機、購置高效率空氣壓縮機，降低碳排放量，落實能源管理制度。並持續推動ISO 50001能源管理系統，了解設備耗能情況進行改善，以提升各項設備能源使用效率，達成節能、減廢降低能源的耗用。,因內包材使用可回收或再生包材於食品包裝會有食安疑問，故目前暫未使用可回收或再生包材。
1111005,110,1220,台榮,,,N,不定期召開會議檢討節約能源之推動成效,尚未制訂
1111005,110,1225,福懋油,,,N,增置太陽能等綠能,無資料
1111005,110,1227,佳格,,,N,成立工廠能源管理小組，108年起全面使用天然氣鍋爐取代重油鍋爐，提高熱燃效率，並使重油密集度降至為0。,無使用
1111005,110,1229,聯華,,,N,"聯華辦公大樓，主要能源使用為空調及照明系統。於民國98年大樓落成時，為減少日後營運能源使用量，即選用高效率冰水主機供應大樓所需空調；近年來LED燈具產品逐漸成熟穩定，大樓內主要照明系統已陸續汰換為LED燈具；非主要照明區域，則改用感應式LED燈管，有效降低大樓能源使用量。為符合中央主管機關(經濟部能源局)所定節約能源之規定，於104~113年期間遵守每年節能1%規定(能源管理法)。
其子公司聯華製粉食品於製程中並不會耗用大量能資源，但仍積極推動辦公大樓及廠區節電行動，針對製程需求，變化調整設備至最佳耗能模式，並利用汰舊換新的方式，採購高效能IE3等級的節能馬達取代老舊的IE1馬達，並透過行政管控節省能源的使用，提升能源效率。聯華製粉目前雖非為法規規範之電力用戶，業已著手評估導入再生能源發電設備之可行性與做法，盡力提升再生能源使用比例。","子公司聯華製粉食品相關產品生產包裝種類主要有二種：
1.塑膠包裝 (可回收PP05)
2.紙包裝 (採用森林管理委員會FSC標章的紙材)
塑膠包裝佔大宗，但我國法規目前還未允許食品包材添加再生塑料，上游業界與材料研發推動尚有瓶頸，所以現況並無使用再生物料。
然而，食品包裝涉及食安法規問題，包材要考慮的面向也較多。未來上游業界如能開發出符合法規之再生食品包材並拓展其應用，本公司優先評估採用。另在包裝設計上，也會減少材料使用，在包裝上清晰顯示環保屬性，有助於分類後循環利用，期能為環境永續盡一份心力。"
1111005,110,1231,聯華食,,,N,無資料,無資料
1111005,110,1232,大統益,,,ISO 50001,依據能源管理系統ISO50001盤查能耗設備資料以建立能源基線與能源績效指標，藉由產銷協調及管理重大能耗設備等以提升能源使用效率。,密切注意r-PET再生物料之應用趨勢及國內法規的動態。
1111005,110,1233,天仁,,,N,尚未制定,尚未制定
1111005,110,1234,黑松,0.6000,台北總公司、中壢廠與斗六廠,ISO 50001,"為管控能源使用效率，降低環境衝擊，本公司中壢廠成立 「能源管理委員會」以有效實施能源管理系統，並提高能源績效。103年12月通過ISO 50001：2011能源管理系統驗證；109年9月中壢廠ISO 50001：2011驗證改版為ISO 50001：2018驗證，有效期為109年12月至112年12月。
本公司能源政策：
(1)遵行政府法令，符合能源相關趨勢，達到降低能源用量之目標。
(2)所有員工同心協力設計、製造高品質產品，並盡可能降低其對環境的影響與傷害，以兼顧利害相關者需求、環境考量與能源有效利用。
(3)持續提昇能源使用效率，並推展適當的管控與減量措施，支持採購具改善能源績效之產品，致力減少對環境的衝擊。
(4)深化全體員工對能源績效的認知與當責，提供適切的溝通諮詢管道及參與機制，以確保能源管理系統之有效運作。",黑松尚無使用再生物料政策，相關政策預計於112年完成制定。
1111005,110,1235,興泰,,,N,預期未來評估使用太陽能發電,目前暫無規劃
1111005,110,1236,宏亞,26.3000,母公司,N,太陽能發電、電力監控需量管制系統採流量監測及異常警示、汰換低效能設備、廢熱回收利用。,建置綠色再生能源導入循環經濟管理模式，如汙泥、下腳料製成有機肥料。
1111005,110,1256,鮮活果汁-KY,,,N,"1.汙水處理系統擴建：新增兩座IC厭氧塔。
2.汙水處理系統改造：好氧塔改造，新增回流泵和磁懸浮風機；綜合塔改造，現為厭氧/好氧一體塔兩用功能。
3.系統流程佈局改造：設計方案由高塔狀佈局調整為水箱式佈局，高塔狀佈局消耗電能較大，需要透過水泵提升；水箱式佈局為一次提升，後續工藝階段均靠自流方式到下一流程處理。
污水設施改造後，原日處理300方的基礎上，每年節省電費、耗材、水費、委外服務費、富餘量處理報廢品共計約人民幣102.9萬元，汙水處理回用，每年節約用水約5000噸。",無
1111005,110,1301,台塑,0.0000,母公司,N,汰舊換新老舊設備，並持續推動節水節能,推動PE、PP產製含有再生料的塑膠粒，另將廢塑膠粒交由下游廠商再製(達成PIR率100%)
1111005,110,1303,南亞,0.0000,"母公司，已規劃分二階段於各廠區廠房屋頂建置太陽能發電設備，至119年，預計設置總容量約51,625KW，預估占台電契約容量29.4%(高於政府用電大戶條款規定的10%)，其中，新港配電盤廠廠房屋頂1,500KW太陽能發電設備建置投資案，於110年完成發包，進入施工階段。",1.ISO 50001能源管理系統:林口廠、樹林二廠、嘉義一廠、新港CCL一廠、新港CCL三廠。2.	綠色工廠標章: 樹林二廠、新港CCL一廠、新港CCL三廠。3.綠建築標章:林口製膜二廠(銀級標章),"依循「循環經濟」原則及運用AI等新興技術，持續擬定並推動能資源效率提升專案，重點如下：
1.盤點各廠能源需求，跨廠整合運用，將餘熱、尾氣及低階能源回收利用:透過增設ORC餘熱發電系統、吸收式冷凍機，將熱能回收再利用等。
2.設備整改汰換：更換IE3超高效馬達、改採磁浮式冷凍機等以節省電力。
3.運用AI技術，使製程操作條件最佳化，以降低原料及能源使用量，並建置能源管理系統，有效統整跨廠處能資源使用，以降低能耗。","本公司為因應國際永續趨勢，及下游品牌廠商及終端客戶環保之重視，運用循環經濟之概念，積極推動再生物料之使用，主要策略及案例如下:
1.生產過程使用再生料：
(1)持續擴建寶特瓶回收產品產線，台灣地區以「回收粒產能達原生瓶用粒75%以上」為目標。
(2)持續推動織物回收與新技術開發：已有純PET胚布、成布及邊角料之回收技術，並建立產能1000噸/月之產線，未來將投入高端解聚回收技術自行開發。
(3)工業用離型膜回收：可回收下游被動元件(MLCC)及光學客戶使用後之離型膜，處理後再製為塑膠粒，目前回收產能600噸/月。
2.提高包裝材重複使用比例：規劃推動回收客戶包裝材料作業。
3.開發產品材質單一化設計：針對聚酯粒、窗簾材質與包裝膜，進行材質單一化開發，提升回收可行性。"
1111005,110,1304,台聚,,,ISO 50001,"1.能源管理系統導入
2.製程尾氣回收再利用
3.年度節電計劃制定",工廠無使用再生物料
1111005,110,1305,華夏,,,ISO 50001,"1. 2020年~2025年節能率目標6年7.2%
2.每年節電率達1%以上。
3. 2030年減碳目標為較2017年(基準年)減少27%碳排放量。","華夏公司充分掌握國際趨勢並瞭解客戶的需求，2022年導入GRS回收系統驗證，GRS對受驗證成品的追溯的原則，增加產品中回收材料的使用並減少在生產過程中對於環境造成的危害，同時包含環境和社會責任相關要求，提供較好的監視和控制機制，包含上游供應鏈必須要有GRS認證才有效，確保受驗證產品的完整性。
1、綠色產品(TPU、TPO)，導入GRS回收系統驗證，產品必需使用回收料要達20%、且對企業社會責任、生產製程中污染防制與處理、以及化學品限制…等規範，才能取得驗證，預計2022年年底取得驗證。
2、綠色產品(TPU、TPO)，獲得GRS驗證標示(吊牌)，則產品其原料至少需含有50%的回收成分，才得以使用GRS驗證標示(吊牌)，才能取得驗證，預計2023年年底取得。"
1111005,110,1307,三芳,,,N,請參考年報P61,請參考年報P61
1111005,110,1308,亞聚,,,ISO 50001,"1. 訂定節能減碳目標：節能減碳措施執行，節能目標1.2%；
2. 提升能源使用效率：單位產品用電量管控；
3. 再生能源評估，綠電建置規劃。","物料回收循環再利用：
太空包袋回收率≧ 78%"
1111005,110,1309,台達化,,,ISO 50001,"1.訂定節能減碳目標：節能減碳措施執行，節能、減碳目標皆為1.2%。
2.提升能源使用效率：製程改善，單位產品用能耗降低。",無資料
1111005,110,1310,台苯,,,N,"1.每年訂定年度能源使用標準值，每月檢討能源使用現況，此外更每年皆編例製程改善及設備更新之預算，持續降低能源使用量。
2.遵循「能源用戶訂定節約能源目標及執行計畫規定」，於2015年~2024年，平均年節電率需達1%以上。",無。
1111005,110,1312,國喬,,,N,"為有效管控溫室氣體排放，高雄廠將針對效率不佳的空壓機更換機頭、冰水機汰舊換新、局部汰換高效率燈泡及製程改善停止循環泵.. 等等，預估可節電1,700 千度；2015~2021 年已節電1,182,280 千度，年平均節電率達1.3%。",無
1111005,110,1313,聯成,,,ISO 50001,"1.提升能源高效率設備使用
2.提升高效能照明設施使用
3.增加廢熱廢棄物熱能運用",無
1111005,110,1314,中石化,0.1225,僅母公司,ISO 50001,"中石化訂出每年須比前一年用電量少1% 的節電目標，透過綠
色採購，購買具節能、省電標章產品，降低電使用量。此外，
廠區投入屋頂型太陽能設備與使用製程所產之低壓蒸氣進行發
電，發展再生能源。節電相關專案如利用低壓蒸汽之500kW級
ORC發電設備、丙烯&#33096;透平壓縮機性能提升改善計畫等。","中石化以『成為與環境、社會共榮的綠色石化領先者』企業永
續願景，致力再生環保材料開發與循環經濟。從開發到製造回
收再生工程塑料與提高使用生質來源材料比例，有助於從源頭
減少石化原料使用比例，並在產品使用的壽命終端再次回收使
用。
中石化公司橋頭廠主要製造工程塑膠複合材料，至2020年已
使用ABS、PP、PA6環保再生循環材料，開發出循環經濟工塑
產品系列，該系列產品內含再生材料大於20%以上，也將持續
積極開發PA、PP、ABS等再生回收材料規格，目標於2022年底
取得綠色環保 UL 2809 回收材料含量驗證，後續並致力於其
他更多塑膠材料回收。同時規劃於2022年取得GRS全球回收標
準（Global Recycled Standard）認證，用於向消費者確保
產品(成品和半成品)至少含有20％的再生材料，並驗證社會責
任、環境規範和化學品使用等相關作業是對環境、對人類無危
害的。"
1111005,110,1315,達新,0.9600,母公司,N,"(1)冷氣用電：室內溫度達26度彈性
調整冷氣之開放時段。
(2)綠能屋頂：配合環保規劃再生能
源，廠區屋頂規劃架設太陽能板
以降低用電量及碳排量。
(3)綠化環境：辦公室以盆栽綠化環
境，廠區栽種綠色植物，透過光
合作用減少二氧化碳及釋放氧
氣，優化環境提升空氣品質。
(4)教育宣導：多元方式宣導，藉由
讀書會模式引導深入瞭解，抵禦
氣候變遷，淨零排放已成全球
共識。企業如何實現碳中和，該
如何有效減碳，除了調整營運
模式，採用再生能源，個人更應
從自身做起，改變日常讓生活習
慣養成自然，減少不必要的碳
排，落實有效節能。","本公司PP塑膠瓦楞板產品為環保材質，是可回收再利用之產品，製程中不會產生有害廢料，產品也不會造成環境毒害。
極端氣候儼然常態化，面對環境污染造成氣候變遷，本公司已自主性將製程中會產生有毒氣體且無法優化製程改善污染情況之產品停產，減少污染物排放，配合氣候相關政策等法規，降低空污議題為公司帶來之負面形象，以實際行動友善環境，落實低碳家園。"
1111005,110,1319,東陽,,,N,汰換耗能設備並逐步更換節能設備,"響應近年來環境保護的訴求，考量在製程中降低對環境污染和資源的消耗，力求產品對環境的衝擊
為最小。本公司主要使用熱塑性塑膠PP、ABS是可以重覆回收的原料，在不影響品質的前提下,會回
收使用射出成型產生之料丸及灌口等"
1111005,110,1321,大洋,,,N,定期汰換效率低的大型馬達，改用節能燈俱。,各廠皆有使用再生原料。
1111005,110,1323,永裕,0.0000,"與台電合作躉售太陽能光電
每年產生綠電約達30000度電以上
但未使用綠電於企業自用.",N,"1.推動機械自動化及節能設備，減少人力。
2.縮短產品週期，下降機械運轉時間。
3.計算產品碳足跡，針對高碳排產品進行優先減碳。
4.輔以循環風扇，設定冷氣最低溫度。.",積極投入生產、開發並綠色包材產品。(如生質材料、PCR材料、生物降解材料、減塑材料)
1111005,110,1324,地球,,,N,"1.實施全員能源與環保教育。
2.運用能源管理系統,持續改善能源運用效率。
3.遵循能源與環保之法令與規章。
4.持續節約能源,並減少環境汙染和廢棄物的產生。
5.評估使用低碳能源與低污染性原物料。
6.設定節能目標,落實能源與環保政策。",無。
1111005,110,1325,恆大,,,N,無資料,無資料
1111005,110,1326,台化,0.0000,110年台化及台醋公司之台灣廠區資料,N,本公司積極進行製程節能減碳專案改善，提升能源使用效率。,"1. 能源高階化熱回收再利用。
2. 廠內廢工業塑膠100%回收再利用。
3. 消費性塑膠產品回收再利用，2025年塑膠粒產量占比提高至4.5％。
4. 尼龍回收再製產能(PIR+PCR)，2023年起佔總產量12%。
5. 2030年綠電占總用電量5％以上。"
1111005,110,1337,再生-KY,,,N,研議中,研議中
1111005,110,1338,廣華-KY,,,N,太陽能光伏發電預計2023年投入使用,暫未訂定再生物料政策
1111005,110,1339,昭輝,,,N,老舊耗能設備汰換為節能設備，傳統燈管更換為LED燈管,下腳料回收再利用，減少資源消耗
1111005,110,1340,勝悅-KY,,,N,研議中,研議中
1111005,110,1341,富林-KY,50.2919,"生物質 能源(壓榨稻殼)
生物質 能源(壓榨稻殼)",Higg Index (FEM),"提高員工對於使用能源有效的認識。
常時監督使用能源情況
建立使用能源有效計劃","開發新產品使用再生物料
選材料時優先再生物料"
1111005,110,1342,八貫,,,N,無,無
1111005,110,1402,遠東新,1.1000,統計範疇共21個生產據點,ISO 50001,為提升能源效率，生產事業107年制訂短中長期單位產量能源耗用減量目標，以106年數據為基準年，利用製程餘熱及燃料、製程優化等措施，110年減幅達9%，達成目標。110年共執行86件節能減碳專案，節約能源754太焦耳（TJ），主要節能項目為製程改善減少外購電力。,本公司深耕循環經濟超過三十年，除了從陸地與海洋回收寶特瓶與聚酯廢棄物，110年更與品牌商合作完成全球首創以回收鋼鐵廠排放的廢氣為原料，再製為廢氣回收紗，完成碳捕捉利用(CCU)的先例。目前遠東新是全球最大海洋回收聚酯長纖供應商，所生產的海洋回收紗將首度運用於111年世足賽國家隊球衣。為了解決龐大二手衣廢棄問題，推出織物回收聚酯纖維技術，並已商業化應用。遠東新世紀成功佈建全方位循環再生技術，引領產業永續發展。
1111005,110,1409,新纖,,,N,"現行亦推動再生能源使用VU;相關措施預計三年內建置完成,以減少購電及碳排放,實施低階熱源回收再利用節能措施,有效節省各廠區電力消耗","現行亦推動再生能源使用VU;相關措施預計三年內建置完成,以減少購電及碳排放,實施低階熱源回收再利用節能措施,有效節省各廠區電力消耗"
1111005,110,1410,南染,,,N,無,無
1111005,110,1413,宏洲,0.0000,僅母公司,N,今年起原使用燃料油將逐漸改為使用天然氣,未來擬使用太陽能發電用量佔總用電量10%
1111005,110,1414,東和,0.0000,本公司,N,無,無
1111005,110,1416,廣豐,,,N,無,無
1111005,110,1417,嘉裕,,,N,"1.重視氣候變遷及全球暖化之議題，持續推動節約能源措施。
2.全員參與節能減碳之活動，以減少溫室氣體排放。
3.遵行環保法規、客戶要求及其他相關規定。",提高以環保為主要訴求的紡織品產銷比例，致力提升再利用價值，同時於公司內部實施垃圾分類與資源回收，以降低對環境之衝擊。
1111005,110,1418,東華,,,N,無,無
1111005,110,1419,新紡,,,N,呼應聯合國永續發展目標，本公司為追求永續經營及秉持愛護環境守護家園，於日常營運中落實節能環保愛地球之環境保護及節能措施,因應世界環保趨勢，本公司配合國際知名客戶，採用回收及再利用材質做為產品原料，目標達到100%全回收材料之使用
1111005,110,1423,利華,,,N,規劃建置太陽能發電設備中,尚無具體規劃
1111005,110,1432,大魯閣,,,N,尚待擬定,尚待擬定
1111005,110,1434,福懋,,,ISO 50001,請參閱本公司2021年永續報告書_環境面p.67-70,請參閱本公司2021年永續報告書_環境面p.75-84
1111005,110,1435,中福,,,N,持續節約能源教育，維修或更換老舊設備。,無。(目前無實際生產活動)
1111005,110,1436,華友聯,,,N,注意空調溫度設定不宜過低，且以電風扇輔助，徹底降低電耗使用，並定期宣導節能減碳及張貼標語加強全體員工發展永續環境的觀念。,無資料。
1111005,110,1437,勤益控,,,N,"1.執行無紙化作業
2.使用環保省電燈具
3.加強節能減碳宣導",無
1111005,110,1438,三地開發,,,N,無資料,無資料
1111005,110,1439,雋揚,,,N,無。,無。
1111005,110,1440,南紡,,,ISO 50001,"導入ISO50001(能源管理系統)並取得驗證,以系統化之方式提升能源使用效率.","導入GRS(全球回收標準)並取得驗證,每年持續提升環保產品產量."
1111005,110,1441,大東,,,N,辦公室隨手關燈，午休熄燈及下班時間關燈巡檢、事務機設定節電模式，長時間未使用時，自動進入節電模式及辦公室照明更換為LED燈管,無資料
1111005,110,1442,名軒,,,N,優先採購環境保護、節能減碳建材，產品融入資源有效再利用之設計，以降低對環境之衝擊。,優先採購環境保護、節能減碳建材，產品融入資源有效再利用之設計，以降低對環境之衝擊。
1111005,110,1443,立益物流,,,N,不適用,不適用
1111005,110,1444,力麗,0.0600,母公司各廠區,N,1.導入相關管理系統如ISO14001環境管理系統標準及ISO50001能源管理系統標準。2.設備改善、製程改善。3.鼓勵同仁提案改善。,規劃建置風力發電、太陽能
1111005,110,1445,大宇,,,N,無資料,無資料
1111005,110,1446,宏和,,,N,無,無
1111005,110,1447,力鵬,,,ISO 50001,1.導入相關管理系統如ISO14001環境管理系統標準及ISO50001能源管理系統標準。2.設備改善、製程改善。3.鼓勵同仁提案改善。,規劃建置風力發電、太陽能
1111005,110,1449,佳和,0.0000,母公司,N,每年節電1%以上汰舊老舊設備,無
1111005,110,1451,年興,17.5821,2021年母公司。,N,利用iEN雲端能源管理系統平台，管控公司空壓機電力用量。,提高再生資源木屑生質燃料使用率。
1111005,110,1452,宏益,0.0000,包含合併財務報表之母子公司,N,透過定期檢修或汰換耗能設備、執行能源使用管理追蹤，並持續推動節能措施等方式，提升能源使用效率。,提高以環保為主要訴求的紡織品產銷比例，致力提升下腳之再利用價值，同時於公司內部實施垃圾分類與資源回收，以降低對環境之衝擊。
1111005,110,1453,大將,,,N,無資料,無資料
1111005,110,1454,台富,,,N,暫未訂,暫未訂
1111005,110,1455,集盛,,,N,"1.重視氣候變遷及全球暖化之議
題，持續推動節約能源措施。
2.全員參與節能減碳之活動，
以減少溫室氣體排放。
3.遵行環保法規、客戶要求及
其他相關規定。","1. 發展Recycle產品。
2. 持續維持包材回收。"
1111005,110,1456,怡華,0.0000,未使用,N,每年節電1%以上汰換老舊設備,無
1111005,110,1457,宜進,0.0000,僅母公司,N,減少用電量10%,無
1111005,110,1459,聯發,,,N,定期檢修設備，針對高耗能生產設備，逐步進行升級或汰換。,NA
1111005,110,1460,宏遠,0.0000,母公司,ISO 50001,"現場改善,汰舊換新",有
1111005,110,1463,強盛,,,N,尚未訂定,尚未訂定
1111005,110,1464,得力,,,N,無資料,無資料
1111005,110,1465,偉全,,,N,N/A,N/A
1111005,110,1466,聚隆,,,N,生產線及辦法廠房使用節能設備，規劃導入ISO50001能源管理、節能政策宣導，每年提案推動符合能源局每年1%節能績效。,"開發使用生物基質的再生資源之產品取代使用不可再生的石化資源並通過GRS認證。
減少原生物料粍用，並實施包材回收再利用減少森林資源粍用。"
1111005,110,1467,南緯,,,N,"推動綠色製程,優先採購節能減碳的環保設備,提升能源使用效率","與品牌客戶協同設計與開發產品時,推薦客戶優先採用具永續概念再生原物料"
1111005,110,1468,昶和,,,N,無,無
1111005,110,1470,大統新創,0.0000,合併財務報表之母子公司之桃園廠區,N,"1.以智慧化能源管理系統記錄冰水主機耗電量：不但減少人員管理工時，並藉由取得之數據提出節能改善策略、落實改善，降低單位用電成本。
2.積極參與經濟部工業局溫室氣自願減量計劃：採購高效率設備減少能耗，並進行多項節能措施。
3.採用新型低浴比染色機：不僅可節省染料、助劑及水用量，進而大幅減少廢水之產生。
４.建立各項回收系統：包括冷凝水回收系統、冷卻水回收系統、熱水供應系統、鍋爐廢熱回收系統，鍋爐空氣預熱系統、鍋爐供水預熱系統、廢水回收再利用系統、廢水減量計劃。",目前無相關政策。
1111005,110,1471,首利,,,N,節能減碳，推動綠色政策,強化公司回收再利用政策
1111005,110,1472,三洋實業,,,N,無資料,無資料
1111005,110,1473,台南,40.0000,包含合併財務報表之母子公司,N,了解工廠使用能源情況，蒐集各廠能源數據及進行用電設備管理，以增加生產效率、節省能源之成效。,"1.使用生質能源於鍋爐燃料，透過米糠及木糠木頭所製成的生質能源，大幅降低煤炭及柴油使用量。
2.於柬埔寨廠、印尼梭羅廠、越南廠開始使用至少含5%以上回收材質布種，並通過供應鏈RCS再回收聲明認證，與一般材質布料區隔生產，保障產品100%使用回收材質布料。"
1111005,110,1474,弘裕,,,N,無資料,無資料
1111005,110,1475,業旺,,,N,"致力於各項資源之利用效率, 已進行一般垃圾、廢紙、寶特瓶等回收作業，減輕對環境污染。",公司購買之原物料主要為環保機構認證之商品，以防止客戶生產過程排放對環境有害物質。
1111005,110,1476,儒鴻,0.0000,包含合併財務報表之母子公司,ISO 50001,"1.降低設備能耗，提升能源使用效率
2.加強溫室氣體減量管理，推動低碳製程
3.規劃氣候變遷應變與預防方案，強化企業氣候韌性",增加環保紗之使用比例
1111005,110,1477,聚陽,1.1000,台北總公司,ISAE3000,聚陽於2019年開始啟動綠電憑證專案，以提升綠電使用率及朝向全綠能目標，2020至2021年，聚陽總部購入發電類型為太陽能發電憑證共33張(總共度數為33千度)。,聚陽秉持著環保優先，全面永續的精神，使用環保永續材質，重視溯源管理，確保產品的原料與生產過程，皆符合無毒、無害、永續經營的目標，且積極投入開發及引導國際品牌客戶，使用環境友善材質，逐年提高環保材質用量，有效減少環境衝擊，以落實永續經營。台北總公司同時取得全球回收標準(GRS)、有機物含量標準(OCS)、再循環聲明標準(RCS)、歐洲環保紡織標準100(OKEO-TEX (R) Standard 100)等4項的認證。
1111005,110,1503,士電,,,N,積極發展節能、減碳、小型化、可回收等特性優化，並推出高效節能減碳產品供消費者使用。,無
